id,Weekly_Sales
1_1_2012-11-02 ,31510.80445
1_1_2012-11-09 ,20984.7248
1_1_2012-11-16 ,23870.9326
1_1_2012-11-23 ,32156.89505
1_1_2012-11-30 ,28060.23215
1_1_2012-12-07 ,32836.1173
1_1_2012-12-14 ,43919.81995
1_1_2012-12-21 ,50206.73685
1_1_2012-12-28 ,22408.80335
1_1_2013-01-04 ,19516.0529
1_1_2013-01-11 ,18803.4234
1_1_2013-01-18 ,19009.49675
1_1_2013-01-25 ,18379.4956
1_1_2013-02-01 ,27195.8674
1_1_2013-02-08 ,35263.5938
1_1_2013-02-15 ,36354.56325
1_1_2013-02-22 ,25841.5262
1_1_2013-03-01 ,25920.66125
1_1_2013-03-08 ,27817.39055
1_1_2013-03-15 ,23535.71785
1_1_2013-03-22 ,28168.75455
1_1_2013-03-29 ,29025.41235
1_1_2013-04-05 ,29136.3386
1_1_2013-04-12 ,24375.1702
1_1_2013-04-19 ,24336.6553
1_1_2013-04-26 ,22547.1522
1_1_2013-05-03 ,19371.155
1_1_2013-05-10 ,19189.8062
1_1_2013-05-17 ,19195.23805
1_1_2013-05-24 ,18174.38475
1_1_2013-05-31 ,17107.92195
1_1_2013-06-07 ,19055.4261
1_1_2013-06-14 ,18082.75915
1_1_2013-06-21 ,18005.02645
1_1_2013-06-28 ,18005.025
1_1_2013-07-05 ,18933.2511
1_1_2013-07-12 ,17350.8567
1_1_2013-07-19 ,18250.60625
1_1_2013-07-26 ,16698.51205
1_2_2012-11-02 ,46466.38585
1_2_2012-11-09 ,47209.87835
1_2_2012-11-16 ,45879.0447
1_2_2012-11-23 ,49364.5307
1_2_2012-11-30 ,47564.025
1_2_2012-12-07 ,48747.5613
1_2_2012-12-14 ,48084.13825
1_2_2012-12-21 ,57559.04715
1_2_2012-12-28 ,42641.1877
1_2_2013-01-04 ,44265.6721
1_2_2013-01-11 ,44676.6232
1_2_2013-01-18 ,44134.3608
1_2_2013-01-25 ,43527.16395
1_2_2013-02-01 ,49040.4724
1_2_2013-02-08 ,50827.4362
1_2_2013-02-15 ,49269.85985
1_2_2013-02-22 ,48879.8004
